method,parameter,estimate,true_value,bias,abs_bias,status
BLP + Cost IV,sigma,1.355880,1.500000,-0.144120,0.144120,success
BLP + Cost IV,beta_p,-1.009124,-1.000000,-0.009124,0.009124,success
BLP + Cost IV,beta_w,0.667786,0.500000,+0.167786,0.167786,success
BLP - Cost IV,sigma,3.088462,1.500000,+1.588462,1.588462,success
BLP - Cost IV,beta_p,-0.389045,-1.000000,+0.610955,0.610955,success
BLP - Cost IV,beta_w,0.494998,0.500000,-0.005002,0.005002,success
Shrinkage,sigma,1.432051,1.500000,-0.067949,0.067949,success
Shrinkage,beta_p,-0.955831,-1.000000,+0.044169,0.044169,success
Shrinkage,beta_w,0.489124,0.500000,-0.010876,0.010876,success
